name,website,city,state,country,category,description,contact_email,phone,verified,active
General Anthroposophical Society at the Goetheanum,https://goetheanum.ch/en/society,Dornach,,Switzerland,society,International headquarters coordinating 36+ national societies with approximately 42000 members worldwide,,,Yes,Yes
Goetheanum School of Spiritual Science,https://goetheanum.ch/en/school,Dornach,,Switzerland,education,International school with 12 sections conducting research and teaching in anthroposophic fields,,,Yes,Yes
Anthroposophical Society in America,https://anthroposophy.org/,Ann Arbor,MI,USA,society,National coordinating body for anthroposophical work in the USA with 120+ local groups and branches in 40 states,reception@anthroposophy.org,,Yes,Yes
Anthroposophy NYC,https://www.anthroposophynyc.org/,New York,NY,USA,society,New York branch of the Anthroposophical Society offering study groups and cultural activities,,,Yes,Yes
Anthroposophical Society in America - Los Angeles Branch,https://anthroposophyla.org/,Los Angeles,CA,USA,society,Regional branch in Southern California with study groups and community activities,,,Yes,Yes
Rudolf Steiner House - Ann Arbor,https://www.rudolfsteiner.org/annarbor/,Ann Arbor,MI,USA,society,National headquarters of the Anthroposophical Society in America with library and retreat facilities,,,Yes,Yes
The Sojourner Branch,https://www.sojournerbranch.org/,Western Massachusetts,MA,USA,society,Anthroposophical branch in Western Massachusetts offering workshops and study groups,,,Yes,Yes
Anthroposophy Bay Area,https://anthroposophybayarea.org/,San Francisco Bay Area,CA,USA,society,Bay Area anthroposophical groups including Santa Cruz and Monterey Bay branches,,,Yes,Yes
Rudolf Steiner House - London,https://rsh.anth.org.uk/,London,,UK,society,Historic Grade II listed building near Regent's Park serving as headquarters for UK anthroposophical work,,,Yes,Yes
Anthroposophy in Great Britain,https://anthroposophy.org.uk/,London,,UK,society,National anthroposophical society coordinating UK branches and initiatives,,,Yes,Yes
Anthroposophical Society in Canada,https://anthroposophy.ca/en/,Toronto,ON,Canada,society,Canadian organization affiliated with the General Anthroposophical Society with member groups and branches,,,Yes,Yes
Anthroposophical Society in Australia,https://www.anthroposophy.org.au/,Sydney,,Australia,society,Australian organization representing anthroposophical work and member initiatives across the country,,,Yes,Yes
Steiner Education Aotearoa New Zealand,https://www.seanz.org/,Wellington,,New Zealand,society,Federation representing Steiner/Waldorf schools in New Zealand,,,Yes,Yes
Association of Waldorf Schools of North America,https://www.waldorfeducation.org/,Sacramento,CA,USA,education,Membership organization for 160+ Waldorf schools and 14 teacher training institutes in North America,,,Yes,Yes
Alliance for Public Waldorf Education,https://www.publicwaldorf.org/,Sacramento,CA,USA,education,Community of 61 member schools and initiatives across 15 states promoting public Waldorf education,,,Yes,Yes
Waldorf Early Childhood Association of North America,https://waldorfearlychildhood.org/,,,,education,Organization supporting Waldorf early childhood programs with a directory of preschools and kindergartens,,,Yes,Yes
Steiner Waldorf Schools Fellowship,https://steinerwaldorf.org/,London,,UK,education,International federation of Steiner/Waldorf schools with directory and resources,,,Yes,Yes
Rudolf Steiner School NYC,https://www.steiner.edu/,New York,NY,USA,education,First Waldorf school in North America founded in 1928 serving Nursery through 12th grade on the Upper East Side,,,Yes,Yes
